Gender,Home Location,Level of Education,Age(Years),Number of Subjects,Device type used to attend classes,Economic status,Family size,Internet facility in your locality,Are you involved in any sports?,Do elderly people monitor you?,Study time (Hours),Sleep time (Hours),Time spent on social media (Hours),Interested in Gaming?,Have separate room for studying?,Engaged in group studies?,Average marks scored before pandemic in traditional classroom,Your interaction in online mode,Clearing doubts with faculties in online mode,Interested in?,Performance in online,Your level of satisfaction in Online Education
"[0, 1, 0]","[0, 0, 1]","[0, 0, 1, 0]",21,8,"[0, 0, 0, 1]","[0, 1, 0, 0]",5,1,"[0, 1, 0]","[0, 0, 1]",6,8,3,"[0, 0, 1]","[0, 0, 1]","[0, 0, 1]",31-40,3,1,"[0, 1, 0, 0]",4,"[0, 0, 1, 0]"
"[0, 0, 1]","[0, 1, 0]","[0, 0, 0, 1]",9,6,"[0, 0, 0, 1]","[0, 1, 0, 0]",5,5,"[0, 1, 0]","[0, 0, 1]",1,8,10,"[0, 0, 1]","[0, 0, 1]","[0, 1, 0]",81-90,2,1,"[0, 1, 0, 0]",3,"[0, 0, 1, 0]"
"[0, 1, 0]","[0, 0, 1]","[0, 0, 1, 0]",19,7,"[0, 0, 0, 1]","[0, 1, 0, 0]",4,3,"[0, 1, 0]","[0, 0, 1]",1,7,3,"[0, 1, 0]","[0, 1, 0]","[0, 1, 0]",71-80,3,3,"[0, 1, 0, 0]",7,"[0, 1, 0, 0]"
"[0, 1, 0]","[0, 1, 0]","[0, 1, 0, 0]",18,7,"[0, 0, 1, 0]","[0, 1, 0, 0]",4,4,"[0, 0, 1]","[0, 1, 0]",2,7,1,"[0, 1, 0]","[0, 1, 0]","[0, 1, 0]",91-100,5,4,"[0, 0, 0, 1]",8,"[0, 0, 0, 1]"
"[0, 0, 1]","[0, 1, 0]","[0, 0, 1, 0]",23,17,"[0, 1, 0, 0]","[0, 1, 0, 0]",6,4,"[0, 1, 0]","[0, 1, 0]",5,8,2,"[0, 1, 0]","[0, 0, 1]","[0, 1, 0]",71-80,4,2,"[0, 1, 0, 0]",5,"[0, 0, 1, 0]"
"[0, 1, 0]","[0, 1, 0]","[0, 0, 1, 0]",21,8,"[0, 0, 0, 1]","[0, 1, 0, 0]",4,4,"[0, 0, 1]","[0, 0, 1]",6,8,6,"[0, 0, 1]","[0, 0, 1]","[0, 0, 1]",61-70,3,3,"[0, 0, 1, 0]",7,"[0, 1, 0, 0]"
"[0, 0, 1]","[0, 0, 1]","[0, 0, 1, 0]",21,8,"[0, 0, 0, 1]","[0, 1, 0, 0]",4,4,"[0, 1, 0]","[0, 1, 0]",4,3,5,"[0, 1, 0]","[0, 0, 1]","[0, 0, 1]",31-40,2,2,"[0, 0, 1, 0]",6,"[0, 0, 0, 1]"
"[0, 1, 0]","[0, 0, 1]","[0, 0, 1, 0]",20,20,"[0, 0, 0, 1]","[0, 1, 0, 0]",4,4,"[0, 1, 0]","[0, 0, 1]",2,7,3,"[0, 0, 1]","[0, 0, 1]","[0, 0, 1]",71-80,5,4,"[0, 0, 1, 0]",8,"[0, 0, 0, 1]"
"[0, 1, 0]","[0, 1, 0]","[0, 0, 1, 0]",20,8,"[0, 1, 0, 0]","[0, 1, 0, 0]",4,3,"[0, 0, 1]","[0, 0, 1]",5,7,2,"[0, 0, 1]","[0, 1, 0]","[0, 0, 1]",61-70,2,2,"[0, 1, 0, 0]",6,"[0, 1, 0, 0]"
"[0, 1, 0]","[0, 0, 1]","[0, 1, 0, 0]",20,9,"[0, 0, 0, 1]","[0, 1, 0, 0]",5,4,"[0, 0, 1]","[0, 1, 0]",5,6,1,"[0, 1, 0]","[0, 1, 0]","[0, 1, 0]",51-60,2,2,"[0, 0, 0, 1]",6,"[0, 1, 0, 0]"
"[0, 0, 1]","[0, 1, 0]","[0, 0, 1, 0]",22,7,"[0, 0, 0, 1]","[0, 1, 0, 0]",5,1,"[0, 1, 0]","[0, 1, 0]",4,8,4,"[0, 0, 1]","[0, 0, 1]","[0, 1, 0]",71-80,4,4,"[0, 1, 0, 0]",8,"[0, 0, 0, 1]"
"[0, 0, 1]","[0, 1, 0]","[0, 1, 0, 0]",20,7,"[0, 1, 0, 0]","[0, 1, 0, 0]",5,4,"[0, 1, 0]","[0, 0, 1]",4,6,4,"[0, 1, 0]","[0, 1, 0]","[0, 0, 1]",81-90,2,3,"[0, 0, 1, 0]",7,"[0, 1, 0, 0]"
"[0, 0, 1]","[0, 0, 1]","[0, 0, 1, 0]",24,15,"[0, 1, 0, 0]","[0, 1, 0, 0]",5,3,"[0, 1, 0]","[0, 1, 0]",4,6,3,"[0, 1, 0]","[0, 1, 0]","[0, 1, 0]",61-70,3,3,"[0, 1, 0, 0]",8,"[0, 0, 1, 0]"
"[0, 0, 1]","[0, 0, 1]","[0, 0, 1, 0]",21,7,"[0, 0, 0, 1]","[0, 1, 0, 0]",5,4,"[0, 1, 0]","[0, 0, 1]",5,7,2,"[0, 1, 0]","[0, 0, 1]","[0, 0, 1]",71-80,4,4,"[0, 1, 0, 0]",8,"[0, 0, 0, 1]"
"[0, 0, 1]","[0, 0, 1]","[0, 1, 0, 0]",19,6,"[0, 0, 0, 1]","[0, 1, 0, 0]",4,4,"[0, 1, 0]","[0, 1, 0]",3,7,2,"[0, 0, 1]","[0, 0, 1]","[0, 1, 0]",81-90,4,4,"[0, 1, 0, 0]",6,"[0, 0, 0, 1]"
"[0, 0, 1]","[0, 0, 1]","[0, 1, 0, 0]",18,6,"[0, 1, 0, 0]","[0, 1, 0, 0]",4,3,"[0, 1, 0]","[0, 1, 0]",5,10,4,"[0, 0, 1]","[0, 1, 0]","[0, 1, 0]",51-60,3,2,"[0, 1, 0, 0]",10,"[0, 0, 0, 1]"
"[0, 0, 1]","[0, 0, 1]","[0, 1, 0, 0]",18,4,"[0, 0, 0, 1]","[0, 1, 0, 0]",4,3,"[0, 1, 0]","[0, 1, 0]",5,6,3,"[0, 0, 1]","[0, 0, 1]","[0, 0, 1]",61-70,2,2,"[0, 0, 1, 0]",10,"[0, 0, 0, 1]"
"[0, 0, 1]","[0, 1, 0]","[0, 1, 0, 0]",18,6,"[0, 1, 0, 0]","[0, 1, 0, 0]",5,4,"[0, 1, 0]","[0, 1, 0]",8,6,2,"[0, 0, 1]","[0, 0, 1]","[0, 0, 1]",71-80,4,4,"[0, 0, 1, 0]",8,"[0, 1, 0, 0]"
"[0, 0, 1]","[0, 1, 0]","[0, 1, 0, 0]",20,5,"[0, 0, 0, 1]","[0, 1, 0, 0]",4,3,"[0, 1, 0]","[0, 1, 0]",2,9,2,"[0, 1, 0]","[0, 0, 1]","[0, 0, 1]",71-80,5,3,"[0, 0, 1, 0]",9,"[0, 0, 0, 1]"
"[0, 1, 0]","[0, 1, 0]","[0, 1, 0, 0]",19,7,"[0, 0, 0, 1]","[0, 1, 0, 0]",4,4,"[0, 0, 1]","[0, 1, 0]",6,8,4,"[0, 0, 1]","[0, 0, 1]","[0, 0, 1]",61-70,4,4,"[0, 0, 0, 1]",8,"[0, 1, 0, 0]"
"[0, 1, 0]","[0, 1, 0]","[0, 0, 1, 0]",9,3,"[0, 0, 0, 1]","[0, 1, 0, 0]",5,3,"[0, 0, 1]","[0, 1, 0]",4,9,10,"[0, 1, 0]","[0, 1, 0]","[0, 0, 1]",91-100,3,3,"[0, 1, 0, 0]",6,"[0, 1, 0, 0]"
"[0, 0, 1]","[0, 1, 0]","[0, 1, 0, 0]",19,9,"[0, 1, 0, 0]","[0, 1, 0, 0]",4,4,"[0, 1, 0]","[0, 0, 1]",4,7,3,"[0, 1, 0]","[0, 0, 1]","[0, 0, 1]",61-70,4,4,"[0, 0, 0, 1]",10,"[0, 0, 0, 1]"
"[0, 0, 1]","[0, 0, 1]","[0, 1, 0, 0]",18,5,"[0, 0, 0, 1]","[0, 1, 0, 0]",5,2,"[0, 0, 1]","[0, 0, 1]",3,7,1,"[0, 1, 0]","[0, 1, 0]","[0, 1, 0]",71-80,2,1,"[0, 1, 0, 0]",2,"[0, 0, 1, 0]"
"[0, 0, 1]","[0, 1, 0]","[0, 1, 0, 0]",19,6,"[0, 0, 0, 1]","[0, 1, 0, 0]",6,3,"[0, 1, 0]","[0, 1, 0]",5,6,3,"[0, 0, 1]","[0, 1, 0]","[0, 0, 1]",61-70,3,3,"[0, 1, 0, 0]",6,"[0, 1, 0, 0]"
"[0, 1, 0]","[0, 1, 0]","[0, 0, 1, 0]",21,8,"[0, 0, 0, 1]","[0, 1, 0, 0]",5,5,"[0, 0, 1]","[0, 0, 1]",2,8,3,"[0, 0, 1]","[0, 0, 1]","[0, 0, 1]",61-70,4,4,"[0, 0, 1, 0]",8,"[0, 1, 0, 0]"
"[0, 0, 1]","[0, 1, 0]","[0, 0, 1, 0]",22,9,"[0, 0, 0, 1]","[0, 1, 0, 0]",6,3,"[0, 0, 1]","[0, 1, 0]",5,7,2,"[0, 1, 0]","[0, 1, 0]","[0, 1, 0]",71-80,4,3,"[0, 1, 0, 0]",7,"[0, 0, 0, 1]"
"[0, 0, 1]","[0, 1, 0]","[0, 0, 1, 0]",21,7,"[0, 0, 0, 1]","[0, 1, 0, 0]",4,1,"[0, 1, 0]","[0, 0, 1]",5,10,8,"[0, 1, 0]","[0, 0, 1]","[0, 0, 1]",61-70,5,3,"[0, 0, 1, 0]",6,"[0, 1, 0, 0]"
