,Gender,Home Location,Level of Education,Age(Years),Number of Subjects,Device type used to attend classes,Economic status,Family size,Internet facility in your locality,Are you involved in any sports?,Do elderly people monitor you?,Study time (Hours),Sleep time (Hours),Time spent on social media (Hours),Interested in Gaming?,Have separate room for studying?,Engaged in group studies?,Average marks scored before pandemic in traditional classroom,Your interaction in online mode,Clearing doubts with faculties in online mode,Interested in?,Performance in online,Your level of satisfaction in Online Education
140,Female,Urban,Under Graduate,18.0,6.0,Laptop,Middle Class,4.0,4.0,No,Yes,3.0,8.0,3.0,No,Yes,yes,91-100,3.0,4.0,Theory,7.0,Average
141,Male,Urban,Under Graduate,19.0,8.0,Laptop,Middle Class,5.0,4.0,No,Yes,5.0,6.0,2.0,No,No,No,81-90,3.0,4.0,Practical,6.0,Bad
142,Male,Rural,Under Graduate,18.0,8.0,Laptop,Middle Class,4.0,3.0,No,Yes,7.0,7.0,2.0,No,Yes,yes,81-90,3.0,2.0,Practical,6.0,Average
143,Female,Urban,Under Graduate,22.0,4.0,Laptop,Middle Class,4.0,5.0,Yes,No,2.0,8.0,1.0,No,Yes,yes,81-90,2.0,2.0,Both,9.0,Bad
144,Female,Urban,Under Graduate,20.0,7.0,Mobile,Middle Class,3.0,2.0,No,Yes,5.0,7.0,2.0,Yes,No,No,81-90,5.0,5.0,Both,8.0,Good
145,Male,Urban,Post Graduate,19.0,8.0,Laptop,Middle Class,4.0,4.0,Yes,Yes,4.0,8.0,3.0,Yes,Yes,yes,51-60,3.0,4.0,Theory,7.0,Average
146,Female,Urban,School,19.0,7.0,Mobile,Middle Class,4.0,3.0,No,Yes,4.0,8.0,2.0,Yes,Yes,No,71-80,2.0,1.0,Theory,6.0,Average
147,Female,Urban,Under Graduate,19.0,8.0,Laptop,Middle Class,4.0,4.0,No,Yes,5.0,3.0,3.0,No,No,No,81-90,3.0,2.0,Practical,8.0,Average
148,Male,Urban,Under Graduate,20.0,7.0,Laptop,Middle Class,3.0,4.0,Yes,Yes,8.0,8.0,4.0,Yes,No,No,81-90,2.0,3.0,Theory,6.0,Average
149,Male,Urban,Under Graduate,20.0,6.0,Laptop,Middle Class,4.0,4.0,No,No,5.0,6.0,1.0,No,No,No,81-90,1.0,1.0,Practical,6.0,Bad
