,Age(Years),Number of Subjects,Family size,Internet facility in your locality,Study time (Hours),Sleep time (Hours),Time spent on social media (Hours),Average marks scored before pandemic in traditional classroom,Your interaction in online mode,Clearing doubts with faculties in online mode,Performance in online
479,24,5,5,3,4,6,2,51-60,3,4,8
480,22,5,4,3,5,7,3,61-70,3,2,5
481,20,9,4,5,4,9,8,41-50,1,3,7
482,23,6,5,4,6,7,3,91-100,3,5,5
483,21,3,4,3,5,8,6,71-80,2,1,8
484,22,5,5,3,6,8,2,41-50,5,4,8
485,20,8,5,5,7,8,3,91-100,5,5,8
486,20,6,5,5,3,8,6,71-80,3,2,5
487,23,6,5,1,3,8,2,41-50,2,2,5
488,24,19,4,4,6,6,1,71-80,4,4,9
489,40,10,3,4,3,6,1,51-60,4,3,7
490,20,8,5,4,4,6,3,61-70,4,4,8
491,27,7,4,4,2,6,2,71-80,4,3,10
492,19,8,7,1,4,7,1,51-60,2,1,9
493,18,7,5,3,1,9,1,71-80,3,3,6
494,19,7,4,3,5,5,2,61-70,5,4,10
495,20,7,4,4,4,5,2,71-80,5,5,10
496,22,5,5,2,5,4,1,11-20,4,4,10
497,21,8,3,2,4,7,1,61-70,4,3,7
498,20,8,6,3,3,6,1,81-90,3,3,7
499,18,10,4,3,2,10,2,81-90,3,3,7
500,18,10,4,3,2,9,4,81-90,3,3,5
501,19,5,4,5,1,7,2,61-70,5,5,10
502,20,6,5,4,4,7,3,71-80,5,4,10
503,19,6,4,5,3,9,2,71-80,4,3,8
504,19,6,3,1,4,6,2,51-60,5,5,10
505,21,6,5,3,7,7,2,61-70,4,3,7
506,20,5,4,4,4,8,4,41-50,3,2,6
507,20,8,4,4,3,9,4,61-70,4,4,6
508,19,5,4,5,4,5,2,71-80,5,5,10
509,20,6,4,1,8,7,2,61-70,3,4,5
510,19,6,5,5,8,7,1,81-90,4,4,8
511,19,6,7,4,4,5,1,71-80,2,2,6
512,22,5,4,4,6,6,3,61-70,3,3,6
513,37,12,4,5,4,8,3,81-90,5,5,10
514,23,5,5,3,5,5,3,61-70,3,3,6
515,21,7,4,4,6,7,2,91-100,3,4,7
516,20,6,4,4,4,9,2,71-80,5,5,8
517,20,6,4,5,4,8,2,71-80,4,4,8
518,20,7,3,5,4,8,2,81-90,4,4,9
519,20,7,3,2,5,7,1,71-80,1,1,6
520,20,6,4,5,2,8,6,81-90,2,1,7
